St,Course #,S,L,Course Name,_,CR,PN,GE Reqs,Meeting Time(s),Location(s),Instructor(s)
C,BIO126,C,L,Evolution & Diversity Lab,,0.00,N,,T 1145-0215PM,RNS 255,"Angell, Diane K."
O,BIO231,,,"Microbiology Students in Bio 231 must also register for one lab Bio 231 AL, BL, or CL. This course has class-year limits.",,1.00,N,,MWF 1045-1140,RNS 150,"Bowers, Lisa M."
C,BIO231,A,L,Microbiology Lab,,0.00,N,,Th 0800-1100,RNS 398,"Bowers, Lisa M."
C,BIO231,B,L,Microbiology Lab,,0.00,N,,W 0200-0500PM,RNS 398,"Bowers, Lisa M."
O,BIO231,C,L,Microbiology Lab,,0.00,N,,Th 1245-0345PM,RNS 398,"Bowers, Lisa M."
C,BIO233,A,,Intermediate Genetics Students in Bio 233A must also register for one lab Bio 233 AL or BL. This course has class-year limits.,,1.00,N,,MWF 1045-1140,RNS 410,"Listenberger, Laura"
O,BIO233,B,,Intermediate Genetics Students in Bio 233B must also register for one lab Bio 233 CL or DL.,,1.00,N,,MWF 1150-1245PM,RNS 190,"Lenertz, Lisa Y."
C,BIO233,A,L,Intermediate Genetics Lab,,0.00,N,,M 1255-0355PM,RNS 394,"Listenberger, Laura"
C,BIO233,B,L,Intermediate Genetics Lab,,0.00,N,,T 0120-0420PM,RNS 394,"Listenberger, Laura"
O,BIO233,C,L,Intermediate Genetics Lab,,0.00,N,,T 0800-1100,RNS 394,"Lenertz, Lisa Y."
O,BIO233,D,L,Intermediate Genetics Lab,,0.00,N,,W 0200-0500PM,RNS 394,"Lenertz, Lisa Y."
C,BIO243,A,,Human Anatomy & Physiol Students in Bio 243 must also register for one lab Bio 243 AL or BL. This course has class-year limits.,,1.00,N,,T 1145-0110PM Th 1245-0205PM,RNS 210 RNS 210,"Crisp, Kevin M."
C,BIO243,B,,Human Anatomy & Physiol Students in Bio 243 must also register for one lab Bio 243 CL or DL. This course has class-year limits.,,1.00,N,,MWF 0800-0855,RNS 190,"Kermott, Louis Henry"
C,BIO243,A,L,Human Anatomy & Physiol L,,0.00,N,,M 0100-0400PM,RNS 254,"Crisp, Kevin M."
C,BIO243,B,L,Human Anatomy & Physiol L,,0.00,N,,T 0800-1100,RNS 254,"Crisp, Kevin M."
C,BIO243,C,L,Human Anatomy & Physiol L,,0.00,N,,T 0120-0420PM,RNS 254,"Kermott, Louis Henry"
C,BIO243,D,L,Human Anatomy & Physiol L,,0.00,N,,W 0100-0400PM,RNS 254,"Kermott, Louis Henry"
O,BIO251,,,Plant Physiology Students in Bio 251 must also register for one lab Bio 251 AL or BL. This course has class-year limits.,,1.00,N,,MWF 0905-1000,RNS 190,"Giannini, John"
O,BIO251,A,L,Plant Physiology Lab,,0.00,N,,M 1255-0355PM,RNS 455,"Giannini, John"
O,BIO251,B,L,Plant Physiology Lab,,0.00,N,,T 0120-0420PM,RNS 455,"Giannini, John"
C,BIO261,,,Ecological Principles Students in Bio 261 must also register for one lab Bio 261 AL or BL.,,1.00,N,SED,MWF 0905-1000,RNS 290,"Shea, Kathleen L."
C,BIO261,A,L,Ecological Principles Lab,,0.00,N,,T 0120-0420PM,RNS 440,"Shea, Kathleen L."
C,BIO261,B,L,Ecological Principles Lab,,0.00,N,,W 0200-0500PM,RNS 440,"Shea, Kathleen L."
O,BIO266,,,Comp Vertebrate Anat Students in Bio 266 must also register for one lab Bio 266 AL or BL.,,1.00,N,,MWF 0800-0855,RNS 435,"Swift, Michael"
O,BIO266,A,L,Comp Vertebrate Anat Lab,,0.00,N,,Th 0800-1050,RNS 254,"Swift, Michael"
O,BIO266,B,L,Comp Vertebrate Anat Lab,,0.00,N,,Th 0215-0515PM,RNS 254,"Swift, Michael"
C,BIO275,,,Biology of Reproduction Students in Bio 275 must also register for one lab Bio 275 AL or BL.,,1.00,N,,T 0935-1100 Th 0930-1050,RNS 150 RNS 150,"Porterfield, Jean C."
C,BIO275,A,L,Bio of Reproduction Lab,,0.00,N,,M 0100-0400PM,RNS 250,"Porterfield, Jean C."
C,BIO275,B,L,Bio of Reproduction Lab,,0.00,N,,T 0120-0420PM,RNS 250,"Porterfield, Jean C."
O,BIO291,A,T,Top: India Prerequisite: Permission of instructor.,,0.25,N,,,,"Walter, Anne"
C,BIO291,B,T,Top: Medical Terminology Prerequisite: Permission of instructor. Closed during web registration.,,0.25,N,,M 0600-0800PM,TBA,"Book, Cynthia"
X,BIO291,C,T,"Top: Neuroscience Sr Sem Open only to seniors. Primarily for senior neuroscience concentrators, but other seniors may also register with permission of instructor.",,0.25,N,,M 0700-0900PM,RNS 124,"Dickinson, Shelly D."
O,BIO291,D,T,Top: Exploring BioMath,,0.25,N,,Th 0700-0900PM,RNS 290,"McKelvey, Steven"
C,BIO294,,,Academic Internship,,1.00,Y,,,,Staff
O,BIO294,A,,Academic Internship,,0.50,Y,,,,Staff
O,BIO298,,,IS/,,1.00,N,,,,Staff
C,BIO298,A,,IS/Human Gross Anatomy,,1.00,N,,,,"Kermott, Louis Henry"
C,BIO298,B,,IS/Evolut Animal Behavior,,1.00,N,WRI,,,"Kermott, Louis Henry"
C,BIO298,C,,IS/Epigenetics and AD,,1.00,N,WRI,,,"Giannini, John"
C,BIO298,D,,IS/Eye Diseases,,1.00,N,WRI,,,"Demas, James"
C,BIO298,E,,IS/Conservation Genetics,,1.00,N,,,,"Schade, John D."
C,BIO298,F,,IS/Phytopathology,,1.00,N,,,,"Giannini, John"
O,BIO298,G,,IS/Desertification & Agri,,1.00,N,,,,"Schade, John D."
O,BIO298,H,,IS/Environ Health & Agric,,1.00,N,,,,"Angell, Diane K."
O,BIO298,I,,IS/The Art of Nature,,1.00,N,,,,"Angell, Diane K."
O,BIO298,J,,IS/Lipid Biochemistry,,1.00,N,,,,"Listenberger, Laura"
O,BIO298,K,,IS/Molecular Ecology,,1.00,N,,,,"Schade, John D."
C,BIO375,,,Supplemental Research New course,,0.25,Y,,,,Staff
C,BIO391,,T,Top: Bio of Inflammation Open only to seniors and juniors.,,1.00,N,,T 0120-0245PM Th 0215-0335PM,RNS 435 RNS 435,"Lenertz, Lisa Y."
C,BIO394,,,Academic Internship,,1.00,Y,,,,Staff
O,BIO398,,,IR/,,1.00,N,,,,Staff
C,BIO398,A,,IR/Role of 9 Bacteria TFs,,1.00,N,,,,"Bowers, Lisa M."
C,BIO398,B,,IR/Organic Agroecology,,1.00,N,,,,"Shea, Kathleen L."
C,BIO398,C,,IR/Bacterial Biogenesis,,1.00,N,,,,"Bowers, Lisa M."
C,BIO398,D,,IR/Nucleotide Receptors,,1.00,N,WRI,,,"Lenertz, Lisa Y."
O,BIO398,E,,IR/Oyster Pop Genetics,,1.00,N,,,,"Porterfield, Jean C."
O,BIO398,F,,IR/Soil Agroecology,,1.00,N,,,,"Schade, John D."
O,BIO398,G,,IR/Stream Metabolism,,1.00,N,,,,"Schade, John D."
O,BIO398,H,,IR/Lipid Biochemistry,,1.00,N,WRI,,,"Listenberger, Laura"
O,BIO398,I,,IR/Genetics of Methanogen,,1.00,N,,,,"Porterfield, Jean C."
O,BIO398,J,,IR/Ecological Management,,1.00,N,,,,"Jackson, Paul T."
O,BIO398,K,,IR/Prairie Carbon Cycle,,1.00,N,,,,"Schade, John D."
O,BMOLS201,,,Expl Biomolecular Sci,,0.25,Y,,Th 0700-0900PM,RNS 400,Staff
C,BMOLS294,,,Academic Internship,,1.00,Y,,,,Staff
O,BMOLS298,,,IS/,,1.00,N,,,,Staff
C,BMOLS394,,,Academic Internship,,1.00,Y,,,,Staff
O,BMOLS398,,,IR/,,1.00,N,,,,Staff
O,CH/BI127,,,Integrated Chem/Bio III Students in CH/BI 127 must also register for lab CH/BI 127 AL or BL. Open only to those students who have completed CH/BI 126.,,1.00,N,IST SED,MWF 0905-1000,RNS 310,"Walter, Anne"
O,CH/BI127,A,L,Integr Chem/Bio III Lab,,0.00,N,,Th 0800-1100,RNS 394,"Walter, Anne"
O,CH/BI127,B,L,Integr Chem/Bio III Lab,,0.00,N,,Th 1245-0345PM,RNS 394,"Walter, Anne"
O,CHEM111,,,Chemistry & the World Students in Chem 111 must also register for one lab Chem 111AL or BL.,,1.00,N,IST SED,T 0935-1100 Th 0930-1050,RNS 390 RNS 390,"Terrell, Cassidy R."
C,CHEM111,A,L,Chemistry & the World Lab,,0.00,N,,M 0200-0500PM,RNS 355,"Terrell, Cassidy R."
C,CHEM111,B,L,Chemistry & the World Lab,,0.00,N,,T 1145-0245PM,RNS 355,"Terrell, Cassidy R."
O,CHEM126,A,,"Chemical Reactions Students in Chem 126A, B, C, D, or E must also register for one lab Chem 126 AL, BL, CL, DL, EL, FL, GL, HL, IL, or JL.",,1.00,N,SED,MWF 0800-0855,RNS 390,"Fogarty, Keir"
O,CHEM126,B,,"Chemical Reactions Students in Chem 126A, B, C, D, or E must also register for one lab Chem 126 AL, BL, CL, DL, EL, FL, GL, HL, IL, or JL.",,1.00,N,SED,MWF 0905-1000,RNS 390,"Fogarty, Keir"
C,CHEM126,C,,"Chemical Reactions Students in Chem 126A, B, C, D, or E must also register for one lab Chem 126 AL, BL, CL, DL, EL, FL, GL, HL, IL, or JL.",,1.00,N,SED,MWF 1045-1140,RNS 390,"Miessler, Gary"
O,CHEM126,D,,"Chemical Reactions Students in Chem 126A, B, C, D, or E must also register for one lab Chem 126 AL, BL, CL, DL, EL, FL, GL, HL, IL, or JL.",,1.00,N,SED,MWF 1150-1245PM,RNS 390,"Abdella, Beth"
O,CHEM126,E,,"Chemical Reactions Students in Chem 126A, B, C, D, or E must also register for one lab Chem 126 AL, BL, CL, DL, EL, FL, GL, HL, IL, or JL.",,1.00,N,SED,MWF 1255-0150PM,RNS 390,"Abdella, Beth"
C,CHEM126,A,L,Chem Reactions/Lab,,0.00,N,,M 0200-0500PM,RNS 350,"Miessler, Gary"
C,CHEM126,B,L,Chem Reactions/Lab,,0.00,N,,T 0800-1100,RNS 350,"Roberts, William P."
C,CHEM126,C,L,Chem Reactions/Lab,,0.00,N,,T 1145-0245PM,RNS 350,"Miessler, Gary"
C,CHEM126,D,L,Chem Reactions/Lab,,0.00,N,,T 0300-0600PM,RNS 350,"Fogarty, Keir"
C,CHEM126,E,L,Chemical Reactions Lab,,0.00,N,,W 1150-0250PM,RNS 350,"Fogarty, Keir"
C,CHEM126,F,L,Chem Reactions/Lab,,0.00,N,,Th 0800-1100,RNS 350,"Marlier, Elodie"
C,CHEM126,G,L,Chem Reactions/Lab,,0.00,N,,Th 1250-0350PM,RNS 350,"Marlier, Elodie"
C,CHEM126,H,L,Chemical Reactions Lab,,0.00,N,,Th 0300-0600PM,RNS 355,"Miessler, Gary"
C,CHEM126,I,L,Chemical Reactions Lab,,0.00,N,,W 0300-0600PM,RNS 350,"Marlier, Elodie"
X,CHEM126,J,L,Chemical Reactions Lab This lab has been canceled.,,0.00,N,,F 0100-0400PM,RNS 355,Staff
O,CHEM248,A,,Organic Chemistry II Students in Chem 248 must also register for one Chem 254 lab.,,1.00,N,,MWF 0800-0855,RNS 310,"Pearson, Wesley"
O,CHEM248,B,,Organic Chemistry II Students in Chem 248 must also register for one Chem 254 lab.,,1.00,N,,MWF 1045-1140,RNS 310,"Hanson, Robert"
O,CHEM248,C,,Organic Chemistry II Students in Chem 248 must also register for one Chem 254 lab.,,1.00,N,,T 1145-0110PM Th 1245-0205PM,RNS 310 RNS 310,"Roberts, William P."
C,CHEM254,A,L,Synthesis Lab II,,0.25,Y,,M 0200-0500PM,RNS 340,"Hanson, Robert"
C,CHEM254,B,L,Synthesis Lab II,,0.25,Y,,T 0800-1100,RNS 340,"Pearson, Wesley"
X,CHEM254,C,L,Synthesis Lab II This lab has been canceled.,,0.25,Y,,T 1145-0245PM,RNS 340,Staff
C,CHEM254,D,L,Synthesis Lab II,,0.25,Y,,T 0300-0600PM,RNS 340,"Roberts, William P."
C,CHEM254,E,L,Synthesis Lab II,,0.25,Y,,W 0200-0500PM,RNS 340,"Kalyani, Dipannita"
C,CHEM254,F,L,Synthesis Lab II,,0.25,Y,,Th 0800-1100,RNS 340,"Pearson, Wesley"
C,CHEM254,G,L,Synthesis Lab II,,0.25,Y,,Th 1250-0350PM,RNS 340,"Kalyani, Dipannita"
O,CHEM255,,,Analytical Chem Students in Chem 255 must also register for Chem 256 AL or BL.,,1.00,N,,T 0935-1100 Th 0930-1050,RNS 310 RNS 310,"Beussman, Douglas J."
O,CHEM256,A,L,Analytical Lab,,0.25,Y,,T 0120-0520PM,RNS 446,"Beussman, Douglas J."
O,CHEM256,B,L,Analytical Lab,,0.25,Y,,W 0100-0500PM,RNS 446,"Beussman, Douglas J."
C,CHEM294,,,Academic Internship,,1.00,Y,,,,Staff
O,CHEM298,,,IS/,,1.00,N,,,,Staff
C,CHEM298,A,,IS/Pharmacology,,1.00,N,,,,"Hanson, Robert"
C,CHEM298,B,,IS/Nanomaterials,,1.00,N,,,,"Hanson, Robert"
O,CHEM357,A,L,Physical Lab,,0.25,Y,WRI,T 1145-0345PM,RNS 392,"Schwinefus, Jeffrey J."
C,CHEM357,B,L,Physical Lab,,0.25,Y,WRI,W 0100-0500PM,RNS 392,"Schwinefus, Jeffrey J."
O,CHEM371,,,Physical Chemistry Students in Chem 371 must also register for Chem 357 AL or BL.,,1.00,N,IST,MWF 0905-1000,RNS 208,"Schwinefus, Jeffrey J."
C,CHEM373,,,Experimental Biochem,,0.25,Y,,T 0120-0520PM,RNS 393,"Muth, Gregory W."
O,CHEM374,,L,Adv Synthesis Lab,,0.25,Y,,T 0120-0520PM,,"Kalyani, Dipannita"
O,CHEM375,,L,Advanced Lab,,0.25,Y,,,,Staff
O,CHEM379,,,Biochemistry I,,1.00,N,IST,MWF 1150-1245PM,RNS 310,"Muth, Gregory W."
C,CHEM385,,,Biochemistry II,,1.00,N,,MWF 1045-1140,RNS 435,"Terrell, Cassidy R."
C,CHEM386,,,Adv Inorganic Chem,,1.00,N,,MWF 1150-1245PM,RNS 435,"Marlier, Elodie"
O,CHEM388,,,Adv Organic Chemistry,,1.00,N,,T 0800-0925 Th 0800-0920,RNS 316 RNS 316,"Kalyani, Dipannita"
X,CHEM390,,S,Sem: Lit of Chemistry This course open to seniors only.,,0.25,Y,,M 0700-0900PM,RNS 316,Staff
C,CHEM394,,,Academic Internship,,1.00,Y,,,,Staff
O,CHEM398,,,IR/,,1.00,N,,,,Staff
C,CHEM398,A,,IR/Nanomaterials,,1.00,N,,,,"Hanson, Robert"
C,CHEM398,B,,IR/Instrumental Research,,1.00,N,,,,"Beussman, Douglas J."
C,CHEM398,C,,IR/Ni Catalyzed Arylation,,1.00,N,,,,"Kalyani, Dipannita"
C,CHEM398,D,,IR/Biaryl Synthesis,,1.00,N,,,,"Kalyani, Dipannita"
C,CHEM398,E,,IR/Pymol Project,,1.00,N,WRI,,,"Terrell, Cassidy R."
C,CHEM398,F,,IR/GC-MS of Human Scent,,1.00,N,,,,"Beussman, Douglas J."
C,CHEM398,G,,IR/Algae Biochemistry I,,1.00,N,,,,"Muth, Gregory W."
C,CHEM398,H,,IR/Bio-Centrifugation Lab,,1.00,N,,,,"Beussman, Douglas J."
C,CHEM398,I,,IR/Adv Human Scent GC-MS,,1.00,N,,,,"Beussman, Douglas J."
C,CHEM398,J,,IR/IRMS Fiber Analysis,,1.00,N,,,,"Beussman, Douglas J."
C,CHEM398,K,,IR/Maldi-Tof Proteomics,,1.00,N,,,,"Beussman, Douglas J."
C,CHEM398,L,,IR/Membrane Biophysics,,1.00,N,,,,"Listenberger, Laura"
C,CHEM398,M,,IR/Perilipin 2 Research,,1.00,N,WRI,,,"Listenberger, Laura"
O,CHEM398,N,,IR/Raman Lab Development,,1.00,N,WRI,,,"Beussman, Douglas J."
O,CHEM398,O,,IR/DNA Stability,,1.00,N,,,,"Schwinefus, Jeffrey J."
O,CHEM398,P,,IR/Low-Valent Inorg Synth,,1.00,N,,,,"Marlier, Elodie"
O,CHIN112,A,,"Beginning Chinese II Students in Chin 112A must also register for one lab Chin 112 AL, BL, or CL.",,1.00,N,,MWF 0905-1000,TOH 316,"Wong, Ka F."
